INT	STRING	STRING	STRING	STRING	STRING	INT	INT
30	《梦溪笔谈》的作者是谁？	沈括	郭守敬	徐光启	宋应星	1	0
31	诗句“我舞影零乱”的上一句是什么？	我歌月徘徊	你歌月徘徊	她歌月徘徊	他歌月徘徊	1	0
32	牛魔王的发妻是谁？	铁扇公主	金扇公主	银扇公主	铜扇公主	1	0
33	第一部国别体史书叫什么名字？	国语	左传	战国策	史记	1	0
34	杭州的市树是什么？	香樟树	梧桐树	松树	橄榄树	1	0
35	段正淳封号是什么？	镇南王	镇东王	镇西王	镇北王	1	0
36	“五更鼓角声悲壮、三峡星河影动摇”的作者是谁？	杜甫	李白	白居易	李商隐	1	0
37	是谁提出“感应电流的磁场总是要阻碍引起感应电流的磁通量的变化”？	楞次	牛顿	法拉第	安培	1	0
38	《泊秦淮》的作者是谁？	杜牧	李白	杜甫	李商隐	1	0
39	以下哪个游戏不是以克苏鲁神话为背景的？	美国末日	血源诅咒	沙耶之歌	失忆症	1	0
40	《西厢记》的作者是谁？	王实甫	郑光祖	马致远	白朴	1	0
41	“清而不薄，厚而不浊，甘而不哕，辛而不蛰”是形容什么酒?	五粮液	二粮液	三粮液	四粮液	1	0
42	薛定谔的猫是薛定谔的一个著名实验，其不涉及的问题是？	势垒穿透	观测者对实验的影响	量子的不确定性	量子的叠加态	1	0
43	又名“伊阙石窟”的著名石窟是?	龙门石窟	洛阳石窟	敦煌莫高窟	龙岗石窟	1	0
44	“碧蚕毒蛊、鹤顶红、孔雀胆”三种剧毒。请问，这三种毒，哪种是现实中存在的？	鹤顶红	碧蚕毒蛊	孔雀胆	一夜红	1	0
45	以下哪个不是音频处理软件？	Premiere	Audition	CoolEdit	GoldWave	1	0
46	我国的开国元勋中，有一位曾师从韩慕侠，曾任共和国首任总理的无产阶级革命家，他被人熟悉的功夫是？	军道杀拳	穿林北腿	迷踪拳	如来神掌	1	0
47	萧峰的父亲叫什么名字？	萧远山	萧朝贵	萧让	萧何	1	0
48	《四库全书》是哪位皇帝下令编纂的？	乾隆	顺治	康熙	雍正	1	0
49	中国古代科举考试中，殿试的第三名叫？	探花	状元	榜眼	解元	1	0
50	希腊神话中俄耳甫斯用什么乐器弹奏音乐使地狱三头犬陷入沉睡？	竖琴	长笛	风琴	七弦琴	1	0
51	特洛伊战争中的著名希腊英雄阿喀琉斯浑身刀枪不入，他唯一的弱点是哪里？	脚踝	膝盖	眼睛	耳朵	1	0
52	下面那个不是多啦A梦的法宝之一？	记忆清除器	变大缩小灯	随意门	竹蜻蜓	1	0
53	灵渠沟通珠江和哪条江？	长江	黄河	香江	淮水	1	0
54	著名漫画《火影忍者》中的第五代火影是谁？	千手纲手	旗木卡卡西	漩涡鸣人	宇智波佐助	1	0
55	传世名画《步辇图》的画家是谁？	阎立本	吴道子	张择端	王羲之	1	0
56	那些会躲在草丛里等你路过时像狗一样跳出来的英雄，他们都来自那个游戏？	英雄联盟	英霸联盟	300英雄	DOTA	1	0
57	泼水节是哪个少数名族过的节?	傣族	苗族	满族	壮族	1	0
58	什么动物，你打死了它却流了你的血?	蚊子	苍蝇	蜻蜓	蝴蝶	1	0
59	“及时当勉励，岁月不待人”是谁的名句？	陶渊明	苏轼	欧阳修	柳宗元	1	0
60	“教练，我想打篮球”是那个著名动漫人物说的？	三井寿	流川枫	宫城良田	樱木花道	1	0
61	《论语》中认为“为仁之本”的是	孝悌	忠义	仁恕	友睦	1	0
62	奥特曼遇到怪兽时不会进行以下哪项动作？	使用如来神掌	友情摔跤互殴	哔哔哔哔发射激光	假装电池不足伺机发动大招	1	0
63	“实事求是”一词出自哪部典籍？	《汉书》	《左传》	《战国策》	《史记》	1	0
64	“醉里挑灯看剑，梦回吹角连营”出自谁的作品？	辛弃疾	陆游	岳飞	李清照	1	0
65	塞尚、高更、梵高是后印象派的三位伟大画家，他们之中被誉为“现代艺术之父”的是	塞尚	高更	梵高	达芬奇	1	0
66	国际象棋中执白棋的是	先手	后手	高手	能手	1	0
68	去除掉头和尾巴的马达加斯加蟑螂是什么味道？	鸡肉味，嘎嘣脆	黏滑汁液多	又臭又香	酸涩发苦	1	0
69	著名漫画《数码宝贝》中亚古兽进化叫什么？	暴龙兽	加鲁兽	丧尸暴龙兽	草泥马	1	0
70	有道是：武功再高，也怕什么？	羊刀	菜刀	乱刀	砍刀	1	0
71	请问《魔兽世界》中阿尔萨斯出了趟远门，在一个洞里捡到一把剑，这把剑叫？	霜之哀伤	影之哀伤	影锋	圣剑	1	0
72	“给我一个支点，我可以撬动地球”这句话是谁说的？	阿基米德	柏拉图	牛顿	爱因斯坦	1	0
73	著名电子游戏《上古卷轴》是由哪家公司开发的？	Bethesda	Blizzard	Electronic Arts	Ubisoft	1	0
74	希腊神话中，奥林匹斯神王宙斯是推翻了谁的统治后成为神王的？	他的母亲	他的父亲	他的兄弟	他的朋友	2	0
75	北欧神话中的火神、邪神，受到永恒神罚的神是？	奥丁	洛基	托尔	瓦利	2	0
76	克苏鲁神话体系中的“克苏鲁”属于哪个派系的神祗？	外神	旧日支配者	古神	精神旅行者	2	0
77	路过草丛最担心的是哪句话？	德邦快递	德玛西亚	查水表	顺丰快递	2	0
78	生化危机系列中，僵尸的始作俑者是？	AV病毒	T病毒	BT病毒	TT病毒	2	0
79	身为一个纯爷们，有什么东西是绝对不能回头看的？	女神	爆炸	战友	RPG	2	0
80	著名游戏《刺客信条》中，无论多高的地方跳下,只要有稻草堆就不会受伤的技能是？	梯云纵	信仰之跃	蹦极	跳跳鼠	2	0
81	欧洲传说中最著名的幽灵船叫什么名字？	飞翔的河南人	飞翔的荷兰人	飞翔的外星人	飞翔的河北人	2	0
82	“但愿人长久，千里共婵娟”，苏东坡借这首词表达了对谁的思念之情？	妻子	兄弟	父亲	朋友	2	0
83	千里共婵娟”，其中婵娟指的是什么？	姻缘 	月亮	朋友	爱人	2	0
84	“拱手而立”表示对长者的尊敬，一般来说，男子行拱手礼时应该：	右手在外	左手在外	右手在上	左手在上	2	0
85	地球上出现的潮汐是由于	黄赤交角	地月吸引力	地球自转	地球公转	2	0
86	古人常用松鹤延年图祝寿，鹤是生长在	普通旱地	沼泽地	戈壁滩	灌木林区	2	0
87	中国和朝鲜两国的界河是	松花江	鸭绿江	嫩江	珠江	2	0
88	中国最大的商业银行是	中国邮政储蓄	中国工商银行	中国华夏银行	中国农业银行	2	0
89	不等腰直角三角形中对着直角的边叫做	对边	弦	斜边	余	2	0
90	被称为我国最最大的古典艺术宝库的是哪一个？	秦始皇兵马俑	敦煌莫高窟	乐山大佛	布达拉宫	2	0
91	人体最坚硬的部分是	小腿骨骼	牙齿	头部骨骼	背部骨骼	2	0
92	沙漠之舟--骆驼，它的驼峰是用来为自己贮什么的？	食物	脂肪	水分	过剩营养	2	0
93	啤酒瓶上标出的12度数，是指	酒精浓度	麦芽汁浓度	啤酒花浓度	酒气浓度	2	0
94	酒精灯点燃后,最合理的熄灭方法是	往酒精灯上浇水	将灯帽盖上	直接用嘴吹灭	撒上一层细沙	2	0
95	长江上建的第一座大桥是:	南京长江大桥	武汉长江大桥	九江长江大桥	上海长江大桥	2	0
96	诺贝尔奖最后设立的奖项是	和平奖	经济学奖	文学奖	化学奖	2	0
97	人的舌头的哪个部位对苦味最敏感?	舌尖	舌根	舌两侧	舌中间	2	0
98	我国信用卡透支期限最长为:	6天	60天	16天	90天	2	0
99	“知识就是力量”出自哪位名人之口？	马克思	培根	莎士比亚	尼采	2	0
100	“相敬如宾”最初是指什么人之间相互尊敬的样子?	君臣	夫妻	朋友	兄弟	2	0
101	“课牙”原是用来指:	吃东西	吵架	说悄悄话	传递感情	2	0
102	古代战争中指挥军队撤退时要敲击：?	鼓	锣	钟	磬	2	0
103	唱念做打是中国戏曲表演的四种艺术手段，也是戏曲表演的四项基本功。其中“做”指的是：	面部表情	舞蹈动作	声乐表演	器械表演?	2	0
104	“态生两靥之愁，娇袭一身之病”是宝玉对黛玉的第一印象，其中“靥”是指：	腮帮	酒窝	眼睛	嘴角	2	0
105	“宫保鸡丁”中“宫保”是指:	地名	官名	称号	人名	2	0
106	“波尔卡”是一种:	阿根廷民间舞蹈	捷克民间舞蹈	法国民间舞蹈	德国民间舞蹈	2	0
107	近代中国史上清政府同外国签定的不平等条约中,赔款最多的是:	马关条约	辛丑条约	尼布楚条约	南京条约	2	0
108	人民英雄纪念碑上的雕塑作品《五四运动》是:	圆雕	浮雕	壁画	油画	2	0
109	海豚为什么要追随轮船呢?	寻求安全保障	借助外力游动	可以获取食物	与人类嬉戏	2	0
110	我国方便面生产销售总量居世界第几?	第五	第一	第二	第三	2	0
111	我国法律所称的老人是指年龄大于:	70岁的公民	55岁的公民	60岁的公民	65岁的公民	2	0
112	莎士比亚笔下的罗密欧与朱丽叶是哪国人?	英国	意大利	德国	法国	2	0
113	我们常吃的辣椒属于什么类蔬菜?	叶菜类	茄果类	水生菜类	瓜菜类	2	0
114	世界上面积最大的宫殿是:	克里姆林宫	故宫	爱丽舍宫	白宫	2	0
115	北京申奥的第一大主题是:	科技革命	环境保护	历史文化	生命运动	2	0
116	我国太阳能最丰富的地区是:	内蒙古地区	西藏地区	台湾地区	新疆地区	2	0
117	在居家的电路中使用保险丝是为了	节约用电	保障安全	测量用掉多少电	使保险盒里有东西装	2	0
118	人类最古老的绘画形式是:	帛画	壁画	沙画	浮雕画	2	0
119	“马拉松”原指:	运动项目	地名	人名	路名	2	0
120	开心果、瓜子、花生、核桃中脂肪含量最高的是:	开心果	核桃	瓜子	花生	2	0
121	仰韶文化是我国历史上哪个时代中期的文化？	旧石器	新石器	铁器	青铜器	2	0
122	“易安居士”是谁的别号？	老舍	李清照	欧阳修	柳亚子	2	0
123	“东床快婿”原本是指谁：	司马相如	王羲之	刘邦	诸葛亮	2	0
124	眉毛的生长周期有多久？	半年	二个月	一年	三个月	2	0
125	《史记》中的“世家”是给什么人作的传？	皇帝	诸侯王	贵族	重臣	2	0
126	哪个省是大熊猫的产地？	湖南	甘肃	贵州	湖北	2	0
127	“那达慕”在蒙语中的意思是：	体育	游乐	骑马	过节	2	0
128	我国古代诗歌史上被称为“双璧”的一篇是：《孔雀东南飞》另一篇是：	《格萨尔王》	《木兰诗》	《木兰辞》	《离骚》	2	0
129	香港电影《花样年华》最近在第５３届戛纳国际电影节上获最佳男主角奖，在该片中饰演男主角是谁？	黎明	梁朝伟	张国荣	刘德华	2	0
130	成语“脱颖而出”的‘颖’是什么意思？	优秀	锥尖	稻穗	聪明	2	0
131	白炽灯用久了会发黑是为什么？	钨丝氧化	钨丝升华	灰尘进入	密封不严	2	0
132	“众芳摇落独暄妍，占尽风情向小园。疏影横斜水清浅，暗香浮动月黄昏。”形容的是什么花？	桂花	梅花	牡丹	月季	2	0
133	人们通常在信的结尾处写上“此致敬礼”，这里的“此”指的是什么？	写信人	信本身	收信人	这里	2	0
134	正常人体体细胞有多少条染色体？	36条	46条	48条	38条	2	0
135	广告发挥作用的具体方式是？	导向	劝说	传递信息	情感诱导	2	0
136	珊瑚婚是指结婚多少周年？	10	35	25	40	2	0
137	圆周率最早出现在哪里？	巴比伦	埃及	阿拉伯	印度	2	0
138	慈禧垂帘听政的地点在哪里？	坤宁宫	养心殿	储秀宫	太和殿	2	0
139	某个月里有三个星期天的天数为偶数，请推算出这个月的15号是星期几？	星期四	星期六	星期五	星期一	2	0
140	我们的鼻子有多少个嗅觉感受器？	300万	500万	600万	800万	2	0
141	《义勇军进行曲》是哪部电影的主题歌？	《塞上风云》	《风云儿女》	《大路》	《十字街头》	2	0
142	在糖水中加少量盐，尝起来会怎样？	涩	甜	咸	苦	2	0
143	一般说，同一只手上哪个手指的指甲生长得最快？	食指	中指	小指	无名指	2	0
144	“优盘”是一种新型外存储器，这是通过什么接口与电脑交换数据的？	PS/2	USBD LPT	IEEE1394	SBPT	2	0
145	程序汇编有哪两种方式？	自动汇编和机器汇编	手工汇编和机器汇编	自动汇编和手工汇编	手动汇编和机动汇编	2	0
146	味精的鲜味来自谷氨酸，它最早发现于什么汤中？	鸡汤	海带汤	鱼汤	竹笋汤	2	0
147	战国时郭隗对燕昭王说“请自隗始”，是指他开始做什么呢？	清查财产	聘请任用	撤职查办	晋升高官	2	0
148	个体户全年经营收入扣除成本、费用、损失，余额缴纳：	企业所得税	个人所得税	私营企业所得税	营业税	2	0
149	最能反映骨骼发育的重要指标是	胸围	身长	牙齿数	坐高	2	0
150	赤壁之战中，假装投降以接近曹军的吴国将领是：	黄忠	黄盖	黄巢	姜维	2	0
151	“清明上河图”是哪个朝代画家的作品？	南宋	北宋	唐朝	明朝	2	0
152	“清明上河图”描绘的是现在哪个城市的状况？	浙江杭州	河南开封	陕西西安	江苏南京	2	0
153	古琴一般有几根弦？	5	7	21	22	2	0
154	马尔代夫的首都是	马鹿	马累	马代	马户	2	0
155	哪位帝王曾说过：“君非亡国之君，臣皆亡国之臣”	宋徽宗	崇祯	李煜	咸丰	2	0
156	克苏鲁神话体系中，凡人追求知识和真相会给自己带来怎样的结果？	智慧	理智	疯狂	迷惘	3	0
157	《圣经》中的圣枪“朗基奴斯枪”曾经弑杀了谁？	君士坦丁大帝	莫里斯	耶稣	亚瑟王	3	0
158	以老婆凶悍著称的哲学家是？	柏拉图	亚里士多德	苏格拉底	笛卡尔	3	0
159	著名英雄史诗《尼伯龙根之歌》中的“尼伯龙根”是指北欧神话中的哪里？	诸神国度	火之乡	雾之国	妖精之乡	3	0
160	《圣经》中是谁因为憎恶弟弟的行为而把他杀害，后来受到了上帝的惩罚？	以诺	塞特	该隐	亚伯	3	0
161	爱尔兰传说中英雄库夫林最终被自己的武器杀死，他的武器是？	夺魂剑	神光戟	神魔枪	光之弓	3	0
162	著名的“所罗门之匙”究竟是什么东西？	藏宝图	钥匙	魔法书	武器	3	0
163	在草兔狼虎这条食物链中草属于？	分解者	二级消费者	生产者	初级消费者	3	0
164	素有“植物中的熊猫”之称的是？	榕树	银杏	银杉	鹅掌楸	3	0
165	水在几摄氏度时密度最大？	6度	3度	4度	5度	3	0
166	十二地支中，位于“寅”后的是	巳	丑	卯	午	3	0
167	六弦琴是什么乐器的别称？	小提琴	月琴	吉他	琵琶	3	0
168	土豆削皮后为什么要放入水中？	清洗土豆	去除毒素	防止氧化变色	保持湿润	3	0
169	波尔多是著名的	白酒产区	威士忌产区	葡萄酒产区	啤酒产区	3	0
170	NBA中“魔术师”是谁的绰号？	奥尼尔 	科比	约翰逊	纳什	3	0
171	现代羽毛球运动最早出现在哪个国家？	德国	法国	英国	中国	3	0
172	夏洛克·福尔摩斯居住在	伦敦贝克街212B	伦敦贝克街220B	伦敦贝克街221B	伦敦贝克街222B	3	0
173	“弃捐勿复道，努力加餐饭。”中的“餐饭”是什么意思？	餐具	杯具	饭	菜	3	0
174	《天龙八部》中段誉的亲生父亲为	段延明	段正明	段延庆	段正淳	3	0
175	“金屋藏娇”中的“娇”指的是	大乔	念奴娇	陈阿娇	小乔	3	0
176	长篇叙事诗《孔雀东南飞》写的是谁的爱情故事	梁山伯与祝英台	司马相如与卓文君	焦仲卿与刘兰芝	张生与崔莺莺	3	0
177	世界上最早产茶饮茶的国家是？	美国	法国	中国	英国	3	0
178	阳明山是我国哪个地区的著名景点	河南洛阳	浙江杭州	台湾台北	江苏苏州	3	0
179	华夏文明的龙脉是指	北京	长江	秦岭	黄河	3	0
180	将25转化为二进制是	10111	11101	11001	10011	3	0
181	占星术黄道十二宫中的“狮子座”对应的出生时期为	5月21号-6月21号	6月22号-7月22号	7月23号－8月22号	8月23号-9月22号	3	0
182	著名的逻辑问题“白马非马”是由谁提出的？	韩非子	庄子	公孙龙	孔穿	3	0
183	配制世界上最早的麻醉药剂“麻沸散”的是	扁鹊	孙思邈	华佗	李时珍	3	0
184	圆明园是由哪个皇帝开始建造的	顺治	乾隆	康熙	雍正	3	0
185	对于脂肪的消化和吸收具有重要意义的是	胰液	唾液	胆汁	胃液	3	0
186	中国神话当中，嫦娥在月亮上住的行宫叫什么？	月寒宫	嫦娥宫	广寒宫	广月宫	3	0
187	格林童话《灰姑娘》中，灰姑娘参加舞会时所做的车是由哪种植物变成的？	哈密瓜	西瓜	南瓜	冬瓜	3	0
188	“飞雪连天射白鹿，笑书神侠倚碧鸳”是哪位作家14部作品的简称？	梁羽生	温瑞安	金庸	古龙	3	0
189	“泰山”在古代可指	伯伯	叔叔	岳父	岳母	3	0
190	男女表演者随着音乐节奏的东张西望，被阿根廷人视为国粹的舞蹈是	芭蕾	街舞	探戈	桑巴	3	0
191	“左迁”指的是	升官	搬家	降职	流放	3	0
192	“垂死病中惊坐起”的下一句是	笑问客从何处来	牧童遥指杏花村	暗风吹雨入寒窗	此夕闻君谪九江	3	0
193	古希腊神话中，在宙斯热恋赫拉时，宙斯经常变成什么以接近赫拉？	布谷鸟	乌鸦	杜鹃	喜鹊	3	0
194	“姑苏城外寒山寺”中的姑苏指的是现在的	湖州	广州	苏州	杭州	3	0
195	“第五大道”是美国哪个城市的著名街道？	拉斯维加斯	洛杉矶	纽约	华盛顿	3	0
196	古希腊神话中，“双眼闪着骇人的光，任何人哪怕只看她一眼，也会立刻变成毫无生气的一块大石头。”的是	赫拉	维纳斯	美杜莎	雅典娜	3	0
197	“嬛嬛一袅楚宫腰”中的“嬛”与哪一个自读音相同？	袅	萍	轩	环	3	0
198	汉武帝的谥号是“武”，它的意思是	坦然无私	慈仁短折	威强睿德	经纬天地	3	0
199	“方丈”一词最初是与什么有关？	经书	袈裟	房间	禅杖	3	0
200	香港标志性建筑之一“中银大厦”的设计者是	梁思成	齐康	贝律铭	吴良镛	3	0
201	“新月派”的代表诗人是	海子	顾城	徐志摩	林徽因	3	0
202	《面朝大海，春暖花开》的作者是	北岛	顾城	海子	徐志摩	3	0
203	酱香型白酒的主要代表是	五粮液	泸州老窖	茅台	汾酒	3	0
204	中国男足首次闯进世界杯是在	2005年	2001年	2002年	2006年	3	0
205	“洛阳纸贵”原是因为哪篇文章大受好评，在京城广为流传	《长门赋》	《兰亭集序》	《三都赋》	《滕王阁序	3	0
206	宋词分婉约、豪放两派，其中，属于豪放派的代表词人是	周邦彦	李清照	苏轼	柳永	3	0
207	诺贝尔奖中没有设置	和平奖	文学奖	数学奖	经济学奖	3	0
208	2012年诺贝尔文学奖的获得者是	大江健三郎	高行健	莫言	村上春树	3	0
209	《唐·吉诃德》的作者是	大仲马	哈姆雷特	塞万提斯	莎士比亚	3	0
210	“此花开尽更无花”的前一句是	不是花中偏爱桃	不是花中偏爱荷	不是花中偏爱菊	不是花中偏爱梅	3	0
211	被称为“陶都”之称的是哪一个城市？	潮州	龙泉	宜兴	景德镇	3	0
212	“海市蜃楼”现象的成因是	光的色散	光的漫反射	光的折射	光的镜面反射	3	0
213	《黄河大合唱》的作曲者是	光未然	田汉	冼星海	聂耳	3	0
214	古人称为“手谈”的是指	五子棋	象棋	围棋	飞行棋	3	0
215	“百会穴”所在的位置是	面部眉头两侧	右耳耳廓中央	头顶正中	锁骨凹陷处	3	0
216	荷兰画家文森特·梵高的代表作有	黄色的基督	呐喊	星夜	印象	3	0
217	“奉旨填词柳三变”中的柳三变指的是	柳梦璃	柳下惠	柳永	柳宗元	3	0
218	人体最大的解毒器官是	心脏	脾脏	肝脏	肾脏	3	0
219	《洛神赋图》是谁的作品？	曹丕	阎立本	顾恺之	曹植	3	0
220	一般而言，将戒指戴在中指上表示	终生不嫁/娶	已经结婚	恋爱中	已经订婚	3	0
221	被称为“命运交响曲”的是贝多芬的	第二交响曲	第六交响曲	第五交响曲	第三交响曲	3	0
222	欧洲最大的半岛在	南欧	西欧	北欧	东欧	3	0
223	古代的死刑在什么季节行刑？	夏季	冬季	秋季	春季	3	0
224	新物种形成的标志是	基因隔离	外观隔离	生殖隔离	地理隔离	3	0
225	白求恩是何方人士？	中国	法国	加拿大	苏联	3	0
226	“不惑之年”指什么年纪？	70岁	60岁	40岁	50岁	3	0
227	被称为"中国17世纪工艺百科全书"的<<天工开物>>是谁创作的?	祖冲之	张衡	宋应星	沈括	3	0
228	曹雪芹写《红楼梦》用了几年？	5年	7年	10年	15年	3	0
229	《天龙八部》中虚竹的妻子是	吐蕃公主	大理公主	西夏公主	辽国公主	3	0
230	“凹”子有多少笔画？	七笔	六笔	五笔	四笔	3	0
231	“逐鹿中原”是指什么时代群雄纷争的史实？	汉初	汉末	秦末	秦初	3	0
232	我国古代较完整的一部以记载河道水系为主的综合性地理著作《水经注》的作者是	僧一行	裴秀	郦道元	徐霞客	3	0
233	《三国演义》中的“凤雏”是谁？	司马徽	诸葛亮	庞统	周瑜	3	0
234	《滕王阁序》的文体是	汉赋	近体诗	骈文	八股文	3	0
235	西洋管弦乐队中唯一的拨弦乐器是	大提琴	古典吉他	竖琴	小提琴	3	0
236	京剧中"净"这个行当通称为	黑脸	红脸	花脸	白脸	3	0
237	凯尔特神话中太阳神的神光戟“轰击五星”时刻渴望鲜血，只有浸泡在什么中才能平息下来？	眼泪	鲜血	美酒	罂粟药水	4	0
238	凯尔特神话中太阳神的夺魂剑“应答者”具有哪种特性？	必中	吸收魂魄	无视防御	剑下之人无法说谎	4	0
239	北欧神话中咬断世界之树引发灭世之战“诸神的黄昏”的龙叫什么？	摩因	赫瓦格密尔	格拉巴克	尼德霍格	4	0
240	传说中持有王者之剑的不列颠王者是谁？	奥托大帝	拿破仑	征服者威廉	亚瑟王	4	0
241	克苏鲁神话体系中，是什么保护人类不招致灾难的结局？	力量	聪明	思考	无知	4	0
242	著名诗歌《罗兰之歌》主人公圣骑士罗兰的佩剑叫什么名字？	卡拉德波加	赫格尼	奥利凡特	杜兰德尔	4	0
243	交响诗是一种	古体近代诗	音乐剧	新兴现代诗	标题交响音乐	4	0
244	“江州司马青衫湿”中的“江州司马”指的是	杜甫	李白	王安石	白居易	4	0
245	世界上最长的运河是	基尔运河	巴拿马运河	苏伊士运河	京杭大运河	4	0
246	“桃花潭水深千尺，不及汪伦送我情”中的“汪伦”是李白的	发小	兄弟	妻子	好友	4	0
247	著名词人晏殊与晏几道的关系是	无关	远亲	亲兄弟	父子	4	0
248	汉字中只有一笔的字有几个？	4个	1个	2个	3个	4	0
249	被称为“草圣”的是	张若虚	颜真卿	贺知章	张旭	4	0
250	被称为“医圣”的是	孙思邈	李时珍	华佗	张仲景	4	0
251	“群山万壑赴荆门，生长明妃尚有村”中，“明妃”是指	赵合德	赵飞燕	杨玉环	王昭君	4	0
252	“朔月”指的是	阳历每月15号	阳历每月1号	农历每月十五	农历每月初一	4	0
253	《葫芦娃》中四娃的角色绰号是	铁娃	隐身娃	水娃	火娃	4	0
254	“二十四史”的最后一部是	金史	元史	清史	明史	4	0
255	古代六艺“礼、乐、射、御、书、数”中的“御”是指	杂技	礼仪	骑射	驾车	4	0
256	液态氧气是什么颜色？	淡红色	白色	无色	浅蓝色	4	0
257	我国的古曲《广陵散》是	箜篌曲	古筝曲	琵琶曲	琴曲	4	0
258	小行星带是介于哪两大行星轨道之间的小行星密集区域	木星和土星	金星和地球	地球和火星	火星和木星	4	0
259	唐朝时，文成公主为促进少数民族与中原的友好远嫁吐蕃；到了唐中宗时哪位公主又代表唐朝与吐蕃和亲？	武成公主	铜城公主	银城公主	金城公主	4	0
260	F1中国大奖赛的场地位于	广州	北京	杭州	上海	4	0
261	《全唐诗》是哪个时期的人编辑的？ 	宋朝	唐朝	明朝	清朝	4	0
262	被誉为“布鲁塞尔第一公民”的是	雨果	莫扎特	吉亚公爵	小于廉	4	0
263	被称为“百味之首”的是	糖	醋	酱	盐	4	0
264	99岁的称呼是	期颐之年	茶寿	耄耋	白寿	4	0
265	我国古代被称为药王的著名医学家是	华佗	张仲景	神农	孙思邈	4	0
266	被称为“花中皇后”的月季原产于	德国	法国	美国	中国	4	0
267	2008年北京奥运会奖牌上所使用是什么玉？	岫山玉	蓝田玉	和田玉	昆仑玉	4	0
268	“绝对零度”是指	零下264.15摄氏度	零下254.16摄氏度	零摄氏度	零下273.15摄氏度	4	0
269	水生有花植物中叶片最大的植物是	亚克	帝莲	洛桑	王莲	4	0
270	《射雕英雄传》中，第一次华山论剑的胜利者是	欧阳锋	郭靖	周伯通	王重阳	4	0
271	欧洲哪个国家因红酒、时装、薰衣草花海闻名，其首都又被称为“浪漫之都”？	奥地利	意大利	德国	法国	4	0
272	秦国统一六国的顺序，排第一的是哪个国家？	燕	楚	齐	韩	4	0
273	汉武帝第二任皇后卫子夫的弟弟是	卫赤	卫蓝	卫红	卫青	4	0
274	“子美”是哪位唐朝大诗人的字？	李商隐	王维	李白	杜甫	4	0
275	宋代词人李清照的名句“人比黄花瘦”、“满地黄花堆积”中，黄花指的是哪种花？	黄花菜	腊梅花	油菜花	菊花	4	0
